Accession,Virus,Host_agg,Species_agg,vsWuhan,vsTor2,vsMers,vsOC43,vsHKU1,vs229E,vsNL63,MaxSim,Source,Binds,Binds_prob,Binds_predicted
AGV08467,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.54,99.85,41.73,38.07,35.32,35.98,99.85,Train,1,0.9285840555231044,1
AXN73525,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.78,41.28,38.07,35.82,35.79,99.78,Train,1,0.9386497701043764,1
ANF29195,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,33.22,34.4,99.78,41.28,37.93,35.82,35.79,99.78,Train,1,0.929041841329398,1
ALA49352,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.85,41.28,38.07,35.82,35.79,99.85,Train,1,0.930637490388772,1
ATG84910,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.85,41.28,38.07,35.82,35.79,99.85,Train,1,0.9363020639269916,1
AVK87439,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.7,99.56,41.28,38.07,35.82,35.79,99.56,Test,1,0.942434511813743,1
YP_009047204,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,100.0,41.28,37.93,35.82,35.79,100.0,Test,1,0.9344004503665758,1
AHX71946,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.85,41.28,37.93,35.82,35.79,99.85,Train,1,0.9276619776149488,1
ASU91208,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.79,99.7,41.15,38.07,35.82,35.79,99.7,Train,1,0.9243131769666596,1
ASU90186,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.85,41.28,38.07,35.82,35.79,99.85,Train,1,0.9325399168382758,1
ASU90230,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.79,99.78,41.28,37.93,35.82,36.07,99.78,Train,1,0.9540061458286376,1
QOU08541,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.7,41.28,37.93,35.82,36.07,99.7,Train,1,0.9177211407610544,1
ALW82742,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.85,41.28,37.93,35.82,35.79,99.85,Train,1,0.938651857039857,1
ASU90076,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.78,41.28,37.93,35.82,35.79,99.78,Train,1,0.9370434091759946,1
AGV08379,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,34.89,34.79,99.85,41.28,37.93,35.82,35.79,99.85,Train,1,0.9301492053753042,1
ALB08246,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.85,41.28,37.93,35.82,35.79,99.85,Test,1,0.9389615390382549,1
QBF80499,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.79,99.7,41.28,38.07,35.82,35.79,99.7,Train,1,0.9486971431719836,1
ATG84745,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.78,41.28,37.93,35.82,36.07,99.78,Train,1,0.9282520595742938,1
QOU08497,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.78,41.28,38.07,35.82,36.07,99.78,Train,1,0.9168530285734596,1
ATG84899,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.78,41.28,38.07,35.82,35.79,99.78,Train,1,0.945134206812804,1
AHY22565,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.79,99.63,41.28,37.93,35.82,35.79,99.63,Train,1,0.9356489829021734,1
AHI48539,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.85,41.28,38.07,35.82,35.79,99.85,Test,1,0.92454860934744,1
ANI69835,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.89,99.7,41.28,38.07,35.82,35.79,99.7,Train,1,0.96126891936804,1
QBM11737,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.6,99.26,41.15,38.2,35.82,35.79,99.26,Train,0,0.872955640762396,1
ASU89966,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.7,99.63,41.28,38.07,35.82,35.79,99.63,Train,1,0.9433994602602336,1
AVN89334,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.56,41.15,38.05,35.82,35.79,99.56,Train,0,0.9056470251654524,1
AVK87417,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,34.89,34.7,99.56,41.28,38.07,35.82,35.79,99.56,Train,1,0.942095287405248,1
ASU89944,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.7,41.28,38.07,35.82,35.79,99.7,Train,1,0.9307791483004668,1
AJD81440,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.85,41.28,37.93,35.82,35.79,99.85,Train,1,0.9398929815218876,1
AVN89324,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.54,99.48,41.02,38.32,35.33,35.31,99.48,Test,0,0.9346895020190692,1
ASU90175,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,34.91,34.79,99.85,41.15,38.07,35.82,36.07,99.85,Train,1,0.9334809224431166,1
AHY22555,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.79,99.7,41.28,37.93,35.82,35.79,99.7,Train,1,0.911836449777312,1
AKL59401,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.78,41.28,37.93,35.82,35.79,99.78,Train,1,0.916906568800334,1
ASU90329,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.85,41.28,38.07,35.82,35.79,99.85,Train,1,0.9235077317082624,1
ALA49341,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.78,41.28,37.93,35.82,35.79,99.78,Train,1,0.9193371428776222,1
ATG84723,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.7,41.28,37.93,35.82,35.79,99.7,Train,1,0.9141196747141246,1
ALB08311,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.38,99.78,41.28,38.07,35.82,35.79,99.78,Train,1,0.9545282418910854,1
AYJ71470,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.7,99.78,40.8,37.82,35.82,35.79,99.78,Train,1,0.9406446449533444,1
ATG84833,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.7,99.85,41.28,37.93,35.82,35.79,99.85,Train,1,0.9243747047563146,1
ALD51904,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.85,41.28,38.07,35.82,35.79,99.85,Train,1,0.9458023205891412,1
ANC28645,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.38,99.85,41.28,37.93,35.82,35.79,99.85,Train,1,0.941377384812539,1
ASU90857,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.7,41.41,38.07,35.82,35.79,99.7,Train,1,0.9514128643871108,1
ANC28678,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.38,99.78,41.28,38.07,35.82,35.79,99.78,Train,1,0.9320298245702756,1
ASU90527,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.78,41.28,37.93,35.82,35.79,99.78,Train,1,0.9266543785526844,1
ASU90362,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.63,41.28,37.93,35.82,35.79,99.63,Train,1,0.925622241889814,1
ASU90010,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.78,41.28,38.07,35.82,35.79,99.78,Train,1,0.9254438406585278,1
QDP16195,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.7,41.28,38.07,35.82,35.79,99.7,Train,1,0.9273721070841856,1
AIZ48760,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.19,34.79,99.78,41.41,38.07,35.82,35.79,99.78,Test,1,0.9296954376566195,1
QBF80532,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.85,41.28,38.07,35.82,36.07,99.85,Train,1,0.9235782247857226,1
QOU08585,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.54,99.7,41.18,37.93,35.82,35.79,99.7,Train,1,0.9101980435981646,1
QBF80543,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.63,41.28,38.07,35.82,36.07,99.63,Train,1,0.9361461514048318,1
ASU90373,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.78,41.41,37.93,35.82,35.79,99.78,Train,1,0.9429644491175824,1
ASU90340,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.85,41.28,38.07,35.82,35.79,99.85,Train,1,0.9321557362330132,1
ATG84888,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.54,99.7,41.28,38.16,35.82,36.08,99.7,Train,1,0.9418298781721384,1
AVK87450,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.85,41.28,38.07,35.82,35.79,99.85,Test,1,0.9290052285451968,1
YP_009513010,Betacoronavirus Erinaceus/VMC/DEU/2012],Other,Other,33.56,34.54,56.08,31.51,40.82,32.67,32.92,56.08,Test,0,0.0101059776455525,0
ASU90516,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.85,41.41,38.07,35.82,35.79,99.85,Test,1,0.9337562913183106,1
AXN73370,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.53,99.85,40.93,37.8,35.82,35.79,99.85,Train,1,0.9347762679937588,1
ANI69900,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.56,41.15,37.67,35.98,35.79,99.56,Train,1,0.9594119625555082,1
QCQ29075,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.56,41.28,37.93,35.82,35.79,99.56,Train,1,0.94598762176256,1
ASU45807,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.79,99.63,41.28,37.93,35.82,36.07,99.63,Train,1,0.9554213481219268,1
AHI48550,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.7,99.85,41.28,37.93,35.66,35.63,99.85,Train,1,0.9402852720133262,1
ASU90791,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.89,99.7,41.28,38.2,35.82,35.79,99.7,Train,1,0.9358705342954574,1
AHY22545,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.19,34.79,99.85,41.28,37.93,35.82,35.79,99.85,Train,1,0.934660372001306,1
AVV61900,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.7,41.28,37.93,35.82,35.79,99.7,Train,1,0.9274194664543198,1
ATG84866,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.56,41.15,37.8,35.82,36.01,99.56,Train,1,0.9343361401528324,1
ASU90747,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.78,41.28,38.15,35.82,35.79,99.78,Train,1,0.9482452043578354,1
AXN92260,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.7,99.63,41.41,38.05,35.82,35.79,99.63,Train,1,0.940009978195202,1
AXG21654,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.78,41.28,37.93,35.82,35.79,99.78,Train,1,0.944794785119488,1
AVN89376,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,34.88,34.38,99.33,41.15,38.2,35.66,35.63,99.33,Train,0,0.8648534221442108,1
QOU08574,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.7,99.7,41.15,37.94,35.66,35.91,99.7,Train,1,0.9150147915669364,1
AXN73437,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.7,99.78,41.28,37.8,35.82,35.79,99.78,Train,1,0.9353909308342504,1
AVN89365,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.1,34.79,99.41,41.15,37.93,35.82,35.79,99.41,Train,0,0.8744563007954047,1
QBF80521,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.7,99.7,41.15,38.2,35.66,35.63,99.7,Test,1,0.9352817307750176,1
ALB08322,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.02,34.31,99.7,41.06,37.61,35.82,35.79,99.7,Train,1,0.9496029162435172,1
AHI48528,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,34.89,34.63,99.78,41.28,38.07,35.82,35.79,99.78,Train,1,0.9514795468204068,1
AWU59321,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.7,41.28,37.93,35.66,35.63,99.7,Test,1,0.9512155691970056,1
ATG84767,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.7,99.85,41.28,38.07,35.82,36.07,99.85,Train,1,0.9336371336103192,1
QOU08625,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.7,99.7,41.15,38.07,35.82,36.38,99.7,Train,1,0.921805240508488,1
QBF80598,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.1,34.79,99.63,41.54,37.8,35.67,35.44,99.63,Train,1,0.9154744199353286,1
QBM11748,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.16,99.19,41.15,38.2,35.82,35.79,99.19,Train,0,0.890548174523041,1
ATG84679,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.6,99.63,41.28,37.94,35.82,35.79,99.63,Train,1,0.9451592584672835,1
ANF29272,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.44,99.7,41.28,38.16,35.81,35.98,99.7,Train,1,0.9409003844315164,1
QDP16206,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,35.0,34.7,99.7,41.15,37.8,35.82,35.79,99.7,Test,1,0.941038679391159,1
AKN24812,Middle East respiratory syndrome-related coronavirus],Homo sapiens,MERS,34.82,34.7,99.63,41.02,37.82,35.66,36.23,99.63,Train,1,0.9525866462164722,1
ANI69922,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.7,99.63,41.15,38.07,35.65,35.44,99.63,Test,1,0.9495872908730272,1
ALA49462,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.7,99.85,41.15,37.8,35.66,36.01,99.85,Train,1,0.9356933544558758,1
ALA49473,Middle East respiratory syndrome-related coronavirus],Camels,MERSr,35.0,34.7,99.78,41.15,37.8,35.66,36.01,99.78,Test,1,0.9392319055574216,1
AFO11507,Murine coronavirus],Murine,Beta other,31.4,31.16,31.52,73.72,69.59,31.76,31.44,73.72,Train,0,0.2677425060330196,0
AFO11517,Murine coronavirus],Murine,Beta other,31.33,31.08,31.44,73.59,69.34,31.76,31.35,73.59,Train,0,0.3173962146775642,0
AUM60024,Middle East respiratory syndrome-related coronavirus],Bat,MERSr,36.77,40.84,68.01,42.31,38.59,35.65,35.11,68.01,Train,0,0.2376771829149532,0
YP_009824982,Murine hepatitis virus],Murine,Beta other,36.45,30.31,31.26,63.05,61.19,31.39,30.85,63.05,Train,0,0.0570874076591872,0
ACN89723,Murine coronavirus SA59/RJHM],Murine,Beta other,36.45,30.24,31.26,63.05,61.19,31.39,30.85,63.05,Train,0,0.0573620101325042,0
ACO72884,Murine hepatitis virus strain A59],Murine,Beta other,36.45,29.95,31.06,63.05,61.19,31.39,30.85,63.05,Test,0,0.0420725869771298,0
ATN37888,Murine hepatitis virus],Murine,Beta other,36.32,30.24,31.11,62.91,61.26,31.39,30.85,62.91,Train,0,0.0677108474999759,0
AGT17749,Murine coronavirus],Murine,Beta other,36.32,30.24,30.99,62.98,61.12,31.39,30.85,62.98,Train,0,0.0667473922640257,0
ANJ04974,Bovine coronavirus],Bovinae other,Beta1,37.81,37.29,40.52,91.59,64.29,31.75,33.11,91.59,Train,0,0.3524840227040867,0
AVI15000,Bovine coronavirus],Bovinae other,Beta1,37.53,36.94,40.13,91.15,64.19,31.44,32.94,91.15,Train,0,0.4850319802961789,0
ABP38313,Giraffe coronavirus US/OH3-TC/2006],Other,Beta1,37.68,37.15,40.73,91.79,64.38,31.61,33.11,91.79,Train,0,0.8418046506622452,1
ARD05999,Bovine coronavirus],Bovinae other,Beta1,37.53,36.94,40.13,91.22,64.05,31.44,32.94,91.22,Train,0,0.7340967247768059,1
AFE48827,Rabbit coronavirus HKU14],Other,Other,37.99,37.32,40.08,90.78,63.71,31.19,32.19,90.78,Train,0,0.4892190358996302,0
ACJ66990,Sambar deer coronavirus US/OH-WD388-TC/1994],Deer,Beta1,37.68,37.15,40.86,91.95,64.41,31.61,33.11,91.95,Train,0,0.3413628471233046,0
ACJ66961,Waterbuck coronavirus US/OH-WD358-GnC/1994],Deer,Beta1,37.68,37.15,40.86,92.1,64.48,31.61,33.11,92.1,Train,0,0.2826101428727082,0
ACJ66946,Waterbuck coronavirus US/OH-WD358-TC/1994],Deer,Beta1,37.68,37.15,40.86,91.95,64.48,31.61,33.11,91.95,Train,0,0.247229218257238,0
ACJ66977,White-tailed deer coronavirus US/OH-WD470/1994],Deer,Beta1,37.68,37.15,40.86,92.03,64.34,31.61,33.11,92.03,Train,0,0.4079182434386054,0
QOV05175,Bovine coronavirus],Bovinae other,Beta1,37.81,37.29,40.99,91.51,64.36,31.48,32.98,91.51,Test,0,0.3144269872315225,0
ABP38253,Bovine coronavirus R-AH65],Bovinae other,Beta1,37.68,37.15,40.86,91.88,64.27,31.61,33.11,91.88,Train,0,0.4121925940939261,0
ACJ35486,Human enteric coronavirus 4408],Homo sapiens,Beta1,37.68,36.94,40.0,91.37,64.39,31.66,32.76,91.37,Train,1,0.4170116386327117,0
AVZ61109,Bovine coronavirus],Bovinae other,Beta1,37.68,37.15,40.86,91.81,64.34,31.61,33.11,91.81,Train,0,0.2428920808300695,0
QOV05164,Bovine coronavirus],Bovinae other,Beta1,37.81,37.29,40.99,92.03,64.43,31.48,32.98,92.03,Train,0,0.4152237277825722,0
AVZ61119,Bovine coronavirus],Bovinae other,Beta1,37.68,37.15,40.86,91.88,64.46,31.61,33.11,91.88,Train,0,0.2875511377525352,0
NP_150077,Bovine coronavirus],Bovinae other,Beta1,37.68,37.15,40.73,91.81,64.32,31.48,32.98,91.81,Test,0,0.3716301187363309,0
ACT10983,Bovine coronavirus E-DB2-TC],Bovinae other,Beta1,37.68,37.15,40.86,91.95,64.53,31.61,33.11,91.95,Train,0,0.5939735268417262,1
ABP38306,Sable antelope coronavirus US/OH1/2003],Bovinae other,Beta1,37.68,37.15,40.86,91.95,64.41,31.61,33.11,91.95,Train,0,0.3624973929883138,0
AVZ61129,Bovine coronavirus],Bovinae other,Beta1,37.68,37.15,40.86,91.59,64.32,31.61,33.11,91.59,Train,0,0.2882813411979093,0
ABP38236,Bovine coronavirus E-AH65],Bovinae other,Beta1,37.68,37.15,40.86,92.1,64.34,31.61,33.11,92.1,Train,0,0.3281010839962721,0
ACT11030,Human enteric coronavirus strain 4408],Homo sapiens,Beta1,37.68,36.94,40.0,91.44,64.46,31.66,32.76,91.44,Test,1,0.3766764680914358,0
AVI15011,Bovine coronavirus],Bovinae other,Beta1,37.4,36.81,40.13,91.37,64.29,31.3,32.94,91.37,Test,0,0.8955107951448577,1
ABP38243,Bovine coronavirus E-AH65-TC],Bovinae other,Beta1,37.55,37.02,40.73,91.81,64.19,31.48,32.98,91.81,Train,0,0.4500388917382839,0
AYR18616,Betacoronavirus sp.],Rats,Beta other,38.15,37.45,40.83,70.88,72.33,32.63,32.46,72.33,Train,0,0.2748216096331483,0
ABI93999,Bovine coronavirus isolate Alpaca],Bovinae other,Beta1,37.68,37.15,40.73,91.66,64.24,31.61,32.85,91.66,Train,1,0.2939283188900189,0
AFE48805,Rabbit coronavirus HKU14],Other,Other,37.7,37.02,40.08,90.71,63.9,31.46,32.32,90.71,Train,0,0.4109844916838158,0
AAL57308,Bovine coronavirus],Bovinae other,Beta1,37.55,37.02,40.73,91.81,64.32,31.61,32.98,91.81,Train,0,0.2881090130161847,0
ABP38279,Bovine coronavirus E-AH187],Bovinae other,Beta1,37.55,37.02,40.86,91.66,64.27,31.61,33.11,91.66,Train,0,0.3948948962610555,0
AVZ61099,Bovine coronavirus],Bovinae other,Beta1,37.68,37.15,40.0,91.66,64.46,31.61,33.11,91.66,Test,0,0.3756172121640732,0
YP_005454245,Rabbit coronavirus HKU14],Other,Other,37.7,37.02,40.2,90.86,64.05,31.46,32.45,90.86,Train,0,0.5298710008492699,1
ACT10995,Bovine coronavirus E-AH187-TC],Bovinae other,Beta1,37.55,37.15,40.73,91.88,64.32,31.61,33.11,91.88,Train,0,0.432226368150038,0
ACT11019,Bovine respiratory coronavirus bovine/US/OH-440-TC/1996],Bovinae other,Beta1,37.55,37.02,40.86,91.73,64.63,31.61,33.11,91.73,Train,0,0.4546251249064658,0
ANJ04717,Betacoronavirus 1],Bovinae other,Beta1,37.14,36.68,40.6,91.22,64.55,32.08,32.98,91.22,Train,0,0.3436849295143216,0
ABG89288,Bovine coronavirus DB2],Bovinae other,Beta1,37.55,37.02,40.86,91.81,64.39,31.48,33.11,91.81,Train,0,0.575156133372661,1
AFE48817,Rabbit coronavirus HKU14],Other,Other,37.83,36.89,40.2,90.93,64.0,31.6,32.45,90.93,Train,0,0.5158905331317727,1
AXX83351,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.76,36.89,40.83,96.04,62.98,32.77,33.68,96.04,Train,1,0.9108702425190842,1
ANJ04728,Betacoronavirus 1],Bovinae other,Beta1,37.27,36.81,40.47,91.44,64.41,31.94,33.11,91.44,Train,0,0.3397682994777866,0
AYR18599,Betacoronavirus sp.],Rats,Beta other,38.29,37.58,42.28,70.8,72.18,32.5,32.17,72.18,Train,0,0.3566777590574047,0
AQT26498,Canine respiratory coronavirus],Dogs,Beta1,36.93,36.88,40.0,90.56,63.54,31.39,32.98,90.56,Train,0,0.4690986072639235,0
AFW97360,Canine respiratory coronavirus],Dogs,Beta1,36.79,36.75,39.62,90.42,63.62,31.25,32.85,90.42,Train,0,0.5028263453424826,1
AGT51680,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.15,36.81,40.36,96.99,63.47,32.31,33.16,96.99,Train,1,0.7993370616766128,1
AHN64774,Dromedary camel coronavirus HKU23],Camels,Beta1,36.63,36.76,40.0,90.44,63.67,31.68,33.2,90.44,Train,1,0.8833452261891788,1
AAL40400,Bovine coronavirus],Bovinae other,Beta1,37.15,36.81,40.58,91.51,63.96,32.07,32.89,91.51,Train,0,0.4031131786998339,0
ALA50080,Camel coronavirus HKU23],Camels,Other,36.5,36.63,40.0,90.66,63.67,31.68,33.2,90.66,Train,1,0.8629215853810114,1
AHN64783,Dromedary camel coronavirus HKU23],Camels,Beta1,36.5,36.63,40.0,90.66,63.67,31.68,33.2,90.66,Train,1,0.8913634532698027,1
AGT51541,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.02,36.68,40.36,96.91,63.47,32.17,33.03,96.91,Train,1,0.827917564143909,1
AGT51461,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.02,36.68,40.49,96.99,63.54,32.17,33.03,96.99,Train,1,0.8078982490508396,1
AGT51551,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.15,36.54,39.97,96.84,63.68,32.31,33.16,96.84,Train,1,0.8090724735645289,1
AGT51422,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.02,36.68,40.49,96.91,63.47,32.17,33.03,96.91,Train,1,0.7901537626285063,1
AGT51561,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.15,36.54,40.1,96.84,63.61,32.31,33.16,96.84,Train,1,0.8757594839285936,1
AGT51451,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.15,36.54,40.1,96.84,63.61,32.31,33.16,96.84,Train,1,0.8057713526385863,1
ATP16757,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.15,36.54,40.1,96.91,63.47,32.31,33.16,96.91,Train,1,0.8262592518721164,1
AGT51610,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.15,36.73,40.1,96.76,63.68,32.31,33.16,96.76,Train,1,0.8296910447672551,1
AVN88332,Water deer coronavirus],Deer,Beta1,37.5,36.58,40.68,91.59,64.22,31.49,33.11,91.59,Train,0,0.5080041351395076,1
AGT51412,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.02,36.68,40.49,96.99,63.47,32.17,33.03,96.99,Test,1,0.8259319619341876,1
AGT51590,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.02,36.41,39.97,96.69,63.61,32.31,33.16,96.69,Train,1,0.7322229272965324,1
ACN89742,Murine coronavirus MHV-1],Murine,Beta other,36.94,36.43,38.34,64.47,64.32,31.3,34.74,64.47,Test,0,0.5208086112318048,1
ACN89743,Murine coronavirus MHV-3],Murine,Beta other,37.42,36.21,37.73,62.66,62.41,30.74,31.61,62.66,Train,0,0.0040298318900704,0
ARK08670,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.04,36.41,40.31,95.81,62.9,32.31,33.16,95.81,Train,1,0.9445912322763252,1
AVQ05264,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.04,36.41,40.31,95.74,62.98,32.31,33.16,95.74,Train,1,0.9433055123370236,1
ATP16767,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.15,36.41,40.18,95.89,62.98,32.31,33.16,95.89,Train,1,0.943420172036012,1
AJC98127,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.02,36.54,40.57,95.96,62.9,32.31,33.16,95.96,Train,1,0.904345332319203,1
AIV41837,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.15,36.41,40.18,95.74,62.98,32.31,33.16,95.74,Train,1,0.9179946849495568,1
AJC98135,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.15,36.41,40.05,95.96,63.05,32.31,33.16,95.96,Train,1,0.9273014927808176,1
AXX83327,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.89,36.41,40.83,96.11,62.9,32.56,33.42,96.11,Train,1,0.9359723232250252,1
AAX85669,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.76,36.41,41.15,96.11,62.79,32.43,33.29,96.11,Train,1,0.966517119959356,1
ABP87990,Equine coronavirus],Bovinae other,Beta1,37.4,35.55,38.75,79.42,64.31,32.74,33.12,79.42,Train,0,0.0583299209773025,0
AIV41849,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.89,36.41,40.83,96.04,62.9,32.56,33.42,96.04,Train,1,0.9374193171314232,1
QEY10625,Dromedary camel coronavirus HKU23],Camels,Beta1,36.67,36.41,39.67,90.22,63.82,32.17,33.11,90.22,Train,1,0.8803699255250711,1
AIV41795,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.89,36.41,40.83,95.74,62.83,32.56,33.29,95.74,Train,1,0.9539931112690536,1
YP_009555241,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.63,36.54,41.28,100.0,62.94,32.3,33.25,100.0,Test,1,0.9856811429980968,1
AIV41783,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.93,36.45,40.96,95.89,62.83,32.68,33.42,95.89,Train,1,0.9379867528753844,1
AAR01015,Human coronavirus OC43],Homo sapiens,hCoVOC43,37.63,36.54,41.28,98.97,62.83,32.17,33.25,98.97,Train,1,0.9943065172537396,1
